year,prtp,scc
2023,0.0,1406.6359965467857
2024,0.0,1418.3368844272882
2025,0.0,1430.1439134142884
2026,0.0,1442.0471784806273
2027,0.0,1454.0368551192596
2028,0.0,1466.10324138537
2029,0.0,1478.2367464822132
2030,0.0,1490.4277236459404
2031,0.0,1502.6666697286803
2032,0.0,1514.9447714330593
2033,0.0,1527.2549943974573
2034,0.0,1539.5912672612849
2035,0.0,1551.9475763585742
2036,0.0,1564.3179840521461
2037,0.0,1576.6966537160288
2038,0.0,1589.0779205980632
2039,0.0,1601.4562845897856
2040,0.0,1613.8264651601264
2041,0.0,1626.183375933077
2042,0.0,1638.5223169107392
2043,0.0,1650.8393421429591
2044,0.0,1663.130969615263
2045,0.0,1675.3937691835956
2046,0.0,1687.6245986828037
2047,0.0,1699.8202809237193
2048,0.0,1711.9780000801857
2049,0.0,1724.095031940343
2050,0.0,1736.168847573037
2051,0.0,1748.1971336432157
2052,0.0,1760.1773301540175
2053,0.0,1772.106411731407
2054,0.0,1783.981262390574
2055,0.0,1795.7989632736494
2056,0.0,1807.5568762451421
2057,0.0,1819.2524959249572
2058,0.0,1830.8836124022964
2059,0.0,1842.4478960908255
2060,0.0,1853.943210921018
2023,0.005,165.1362832246231
2024,0.005,166.10245443765345
2025,0.005,167.0793806704299
2026,0.005,168.0666382990292
2027,0.005,169.06380172796213
2028,0.005,170.07045179907863
2029,0.005,171.08617452351493
2030,0.005,172.11055667390409
2031,0.005,173.14319501737197
2032,0.005,174.18369843333736
2033,0.005,175.2317003802208
2034,0.005,176.2868491728583
2035,0.005,177.34879202936946
2036,0.005,178.41717913313948
2037,0.005,179.49166130638756
2038,0.005,180.5718920527043
2039,0.005,181.65752509370355
2040,0.005,182.74821572575337
2041,0.005,183.84362218004907
2042,0.005,184.94340366554403
2043,0.005,186.04724206272823
2044,0.005,187.1548348247789
2045,0.005,188.2658887158466
2046,0.005,189.3801226409259
2047,0.005,190.4972653024806
2048,0.005,191.61706320599663
2049,0.005,192.73927484895034
2050,0.005,193.86367539202695
2051,0.005,194.99005950231304
2052,0.005,196.11823131947065
2053,0.005,197.2479953010906
2054,0.005,198.37916450749788
2055,0.005,199.51156538340786
2056,0.005,200.64504192615578
2057,0.005,201.7794488372327
