# --------------------------------------------------------------------
# USE OF NOAA GML DATA
# 
# These data are made freely available to the public and the
# scientific community in the belief that their wide dissemination
# will lead to greater understanding and new scientific insights.
# The availability of these data does not constitute publication
# of the data.  NOAA relies on the ethics and integrity of the user to
# ensure that GML receives fair credit for their work.  If the data 
# are obtained for potential use in a publication or presentation, 
# GML should be informed at the outset of the nature of this work.  
# If the GML data are essential to the work, or if an important 
# result or conclusion depends on the GML data, co-authorship
# may be appropriate.  This should be discussed at an early stage in
# the work.  Manuscripts using the GML data should be sent to GML
# for review before they are submitted for publication so we can
# ensure that the quality and limitations of the data are accurately
# represented.
# 
# Contact:  Kirk Thoning (303 497 6078; kirk.w.thoning@noaa.gov)
# 
# File Creation: Tue Dec 20 05:00:39 2022
# 
# RECIPROCITY
# 
# Use of these data implies an agreement to reciprocate.
# Laboratories making similar measurements agree to make their
# own data available to the general public and to the scientific
# community in an equally complete and easily accessible form.
# Modelers are encouraged to make available to the community,
# upon request, their own tools used in the interpretation
# of the GML data, namely well documented model code, transport
# fields, modeled mole fractions, and additional information 
# necessary for other scientists to repeat the work and to run 
# modified versions. Model availability includes collaborative 
# support for new users of the models.
# --------------------------------------------------------------------
# 
# 
# See gml.noaa.gov/ccgg/trends/ for additional details.
# 
year,month,day,smoothed,trend
2012, 1, 1,  392.92,  391.47
2012, 1, 2,  392.95,  391.47
2012, 1, 3,  392.98,  391.48
2012, 1, 4,  393.01,  391.49
2012, 1, 5,  393.04,  391.49
2012, 1, 6,  393.06,  391.50
2012, 1, 7,  393.09,  391.50
2012, 1, 8,  393.12,  391.51
2012, 1, 9,  393.14,  391.52
2012, 1,10,  393.16,  391.52
2012, 1,11,  393.19,  391.53
2012, 1,12,  393.21,  391.54
2012, 1,13,  393.23,  391.54
2012, 1,14,  393.25,  391.55
2012, 1,15,  393.27,  391.56
2012, 1,16,  393.29,  391.56
2012, 1,17,  393.30,  391.57
2012, 1,18,  393.32,  391.57
2012, 1,19,  393.33,  391.58
2012, 1,20,  393.35,  391.59
2012, 1,21,  393.36,  391.59
2012, 1,22,  393.37,  391.60
2012, 1,23,  393.39,  391.61
2012, 1,24,  393.40,  391.61
2012, 1,25,  393.41,  391.62
2012, 1,26,  393.41,  391.63
2012, 1,27,  393.42,  391.63
2012, 1,28,  393.43,  391.64
2012, 1,29,  393.43,  391.65
2012, 1,30,  393.44,  391.65
2012, 1,31,  393.45,  391.66
2012, 2, 1,  393.45,  391.66
2012, 2, 2,  393.45,  391.67
2012, 2, 3,  393.46,  391.68
2012, 2, 4,  393.46,  391.68
2012, 2, 5,  393.46,  391.69
2012, 2, 6,  393.46,  391.70
2012, 2, 7,  393.46,  391.70
2012, 2, 8,  393.46,  391.71
2012, 2, 9,  393.46,  391.72
2012, 2,10,  393.46,  391.72
2012, 2,11,  393.46,  391.73
2012, 2,12,  393.46,  391.74
2012, 2,13,  393.46,  391.74
2012, 2,14,  393.46,  391.75
2012, 2,15,  393.46,  391.76
2012, 2,16,  393.46,  391.76
2012, 2,17,  393.46,  391.77
2012, 2,18,  393.46,  391.77
2012, 2,19,  393.46,  391.78
2012, 2,20,  393.46,  391.79
2012, 2,21,  393.47,  391.79
2012, 2,22,  393.47,  391.80
2012, 2,23,  393.47,  391.81
2012, 2,24,  393.47,  391.81
2012, 2,25,  393.47,  391.82
2012, 2,26,  393.48,  391.83
2012, 2,27,  393.48,  391.83
2012, 2,28,  393.49,  391.84
2012, 2,29,  393.49,  391.85
2012, 3, 1,  393.50,  391.85
2012, 3, 2,  393.50,  391.86
2012, 3, 3,  393.51,  391.87
2012, 3, 4,  393.52,  391.87
2012, 3, 5,  393.53,  391.88
2012, 3, 6,  393.54,  391.89
2012, 3, 7,  393.55,  391.89
2012, 3, 8,  393.56,  391.90
2012, 3, 9,  393.57,  391.91
2012, 3,10,  393.58,  391.91
2012, 3,11,  393.60,  391.92
2012, 3,12,  393.61,  391.93
2012, 3,13,  393.63,  391.93
2012, 3,14,  393.64,  391.94
