year,prtp,scc
2023,0.0,1547.064
2024,0.0,1546.3384
2025,0.0,1545.5836
2026,0.0,1544.8094
2027,0.0,1544.0228
2028,0.0,1543.2253
2029,0.0,1542.4148
2030,0.0,1544.7188
2031,0.0,1543.8712
2032,0.0,1543.0078
2033,0.0,1542.1202
2034,0.0,1541.1947
2035,0.0,1540.2218
2036,0.0,1539.1952
2037,0.0,1538.1061
2038,0.0,1536.9398
2039,0.0,1535.6759
2040,0.0,1534.2698
2041,0.0,1532.7141
2042,0.0,1530.9993
2043,0.0,1529.1945
2044,0.0,1527.3285
2045,0.0,1525.381
2046,0.0,1523.3466
2047,0.0,1521.2288
2048,0.0,1519.0356
2049,0.0,1516.7883
2050,0.0,1514.5128
2023,0.0025,988.37714
2024,0.0025,990.3159
2025,0.0025,992.23645
2026,0.0025,994.14624
2027,0.0025,996.0499
2028,0.0025,997.9474
2029,0.0025,999.83563
2030,0.0025,1003.5456
2031,0.0025,1005.4078
2032,0.0025,1007.25806
2033,0.0025,1009.08923
2034,0.0025,1010.8903
2035,0.0025,1012.65314
2036,0.0025,1014.37225
2037,0.0025,1016.0384
2038,0.0025,1017.6364
2039,0.0025,1019.1447
2040,0.0025,1020.524
2041,0.0025,1021.7516
2042,0.0025,1022.8236
2043,0.0025,1023.8087
2044,0.0025,1024.7363
2045,0.0025,1025.5874
2046,0.0025,1026.3583
2047,0.0025,1027.0531
2048,0.0025,1027.6804
2049,0.0025,1028.2596
2050,0.0025,1028.8148
2023,0.005,652.6035
2024,0.005,655.4464
2025,0.005,658.2845
2026,0.005,661.1239
2027,0.005,663.9677
2028,0.005,666.81506
2029,0.005,669.66235
2030,0.005,673.58563
2031,0.005,676.4253
2032,0.005,679.26227
2033,0.005,682.0905
2034,0.005,684.90063
2035,0.005,687.68536
2036,0.005,690.4399
2037,0.005,693.1548
2038,0.005,695.8146
2039,0.005,698.39716
2040,0.005,700.8662
2041,0.005,703.1898
2042,0.005,705.3673
2043,0.005,707.46674
2044,0.005,709.51794
2045,0.005,711.50275
2046,0.005,713.41846
2047,0.005,715.26996
2048,0.005,717.0656
